booking_id,advertiser,status,channel,region,daypart,segment_id,start_date,end_date,daily_impressions,priority,date
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-15
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-16
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-17
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-18
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-19
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-20
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-21
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-22
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-23
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-24
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-25
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-26
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-27
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-28
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-29
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-09-30
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-10-01
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-10-02
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-10-03
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-10-04
B-100,Alpine Bank,firm,north_peak,D-CH,prime,w_25_49,2026-09-15,2026-10-05,95000,1,2026-10-05
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-20
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-21
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-22
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-23
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-24
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-25
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-26
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-27
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-28
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-29
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-09-30
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-10-01
B-101,Lake Insurance,firm,north_peak,D-CH,prime,all_adults,2026-09-20,2026-10-02,160000,2,2026-10-02
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-22
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-23
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-24
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-25
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-26
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-27
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-28
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-29
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-09-30
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-01
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-02
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-03
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-04
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-05
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-06
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-07
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-08
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-09
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-10
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-11
B-102,City Retail,option,north_peak,D-CH,prime,w_25_49,2026-09-22,2026-10-12,70000,3,2026-10-12
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-18
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-19
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-20
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-21
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-22
B-200,Romandie Food,firm,lake_city,F-CH,prime,all_adults,2026-09-18,2026-10-08,55000,1,2026-09-23
