date,channel,region,daypart,segment_id,forecast_p20,forecast_p50,actual_impressions,forecast_error,overlap_commitments,sellable_p20,sellable_p50
2026-09-01,north_peak,D-CH,daytime,all_adults,327623,420030,417467,-2563,0,327623,420030
2026-09-01,north_peak,D-CH,daytime,w_25_49,91734,117608,116891,-717,0,91734,117608
2026-09-01,north_peak,D-CH,daytime,m_25_49,85181,109207,108541,-666,0,85181,109207
2026-09-01,north_peak,D-CH,prime,all_adults,499427,640292,575464,-64828,0,499427,640292
2026-09-01,north_peak,D-CH,prime,w_25_49,139839,179281,161130,-18151,0,139839,179281
2026-09-01,north_peak,D-CH,prime,m_25_49,129851,166475,149621,-16854,0,129851,166475
2026-09-01,north_peak,F-CH,daytime,all_adults,133837,171587,152827,-18760,0,133837,171587
2026-09-01,north_peak,F-CH,daytime,w_25_49,37474,48044,42792,-5252,0,37474,48044
2026-09-01,north_peak,F-CH,daytime,m_25_49,34797,44612,39735,-4877,0,34797,44612
2026-09-01,north_peak,F-CH,prime,all_adults,214036,274406,295594,21188,0,214036,274406
2026-09-01,north_peak,F-CH,prime,w_25_49,59930,76833,82766,5933,0,59930,76833
2026-09-01,north_peak,F-CH,prime,m_25_49,55649,71345,76854,5509,0,55649,71345
2026-09-01,lake_city,D-CH,daytime,all_adults,317924,407596,375135,-32461,0,317924,407596
2026-09-01,lake_city,D-CH,daytime,w_25_49,89018,114126,105038,-9088,0,89018,114126
2026-09-01,lake_city,D-CH,daytime,m_25_49,82660,105974,97535,-8439,0,82660,105974
2026-09-01,lake_city,D-CH,prime,all_adults,522703,670133,669161,-972,0,522703,670133
2026-09-01,lake_city,D-CH,prime,w_25_49,146356,187637,187365,-272,0,146356,187637
2026-09-01,lake_city,D-CH,prime,m_25_49,135902,174234,173982,-252,0,135902,174234
2026-09-01,lake_city,F-CH,daytime,all_adults,138461,177515,158975,-18540,0,138461,177515
2026-09-01,lake_city,F-CH,daytime,w_25_49,38769,49704,44513,-5191,0,38769,49704
2026-09-01,lake_city,F-CH,daytime,m_25_49,35999,46153,41334,-4819,0,35999,46153
2026-09-01,lake_city,F-CH,prime,all_adults,212893,272940,279933,6993,0,212893,272940
2026-09-01,lake_city,F-CH,prime,w_25_49,59610,76423,78381,1958,0,59610,76423
2026-09-01,lake_city,F-CH,prime,m_25_49,55352,70964,72783,1819,0,55352,70964
2026-09-02,north_peak,D-CH,daytime,all_adults,301177,386125,360405,-25720,0,301177,386125
2026-09-02,north_peak,D-CH,daytime,w_25_49,84329,108115,100913,-7202,0,84329,108115
2026-09-02,north_peak,D-CH,daytime,m_25_49,78306,100392,93705,-6687,0,78306,100392
2026-09-02,north_peak,D-CH,prime,all_adults,449855,576738,499937,-76801,0,449855,576738
2026-09-02,north_peak,D-CH,prime,w_25_49,125959,161486,139982,-21504,0,125959,161486
2026-09-02,north_peak,D-CH,prime,m_25_49,116962,149951,129984,-19967,0,116962,149951
2026-09-02,north_peak,F-CH,daytime,all_adults,122387,156907,149248,-7659,0,122387,156907
2026-09-02,north_peak,F-CH,daytime,w_25_49,34268,43933,41789,-2144,0,34268,43933
2026-09-02,north_peak,F-CH,daytime,m_25_49,31820,40795,38804,-1991,0,31820,40795
2026-09-02,north_peak,F-CH,prime,all_adults,197049,252627,250530,-2097,0,197049,252627
2026-09-02,north_peak,F-CH,prime,w_25_49,55173,70735,70148,-587,0,55173,70735
2026-09-02,north_peak,F-CH,prime,m_25_49,51232,65683,65138,-545,0,51232,65683
2026-09-02,lake_city,D-CH,daytime,all_adults,330681,423950,404891,-19059,0,330681,423950
